# Hamburg (country=hamburg) — Free Hanseatic City; periods: 1713-1772 (904), 1773-1872 (903), 1871-1918 (468)
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
# --- page 1 (48) ---
KM# 458	81903	1 dreiling	1783-1803	0.51	13	0.187
KM# 522	81904	1 dreiling	1807-1809	0.51	13	0.187
KM# 543	81905	1 dreiling	1823-1839	0.51	13	0.187
KM# 554	81906	1 dreiling	1841	0.51	13	0.187
KM# 562	81907	1 dreiling	1846	0.51	13	0.187
KM# 569	81908	1 dreiling	1851	0.51	13	0.187
KM# 582	81909	1 dreiling	1855	0.51	13	0.187
KM# 454	81911	1 sechsling	1778-1803	0.76	15	0.25
KM# 525	81912	1 sechsling	1807-1839	0.76	15	0.25
KM# 550	81913	1 sechsling	1832	0.76	15	0.25
KM# 556	81914	1 sechsling	1841	0.76	15	0.25
KM# 564	81915	1 sechsling	1846	0.76	15	0.25
KM# 572	81916	1 sechsling	1851	0.76	15	0.25
KM# 585	81917	1 sechsling	1855	0.76	15	0.25
KM# 456	81933	1 schilling	1778-1795	1.08	17	0.375
KM# 542	81932	1 schilling	1817-1819	1.08	17	0.375
KM# 546	81927	1 schilling	1823-1840	1.08	17	0.375
KM# 558	81928	1 schilling	1841	1.08	17	0.375
KM# 566	81929	1 schilling	1846	1.08	17	0.375
KM# 574	81930	1 schilling	1851	1.08	17	0.375
KM# 586	81931	1 schilling	1855	1.08	17	0.375
KM# 512	81940	4 schilling	1797	3.05	24	0.563
KM# 515	81947	8 schilling	1797	5.6	30	0.625
KM# 516	81948	8 schilling	1797	5.6	30	0.625
KM# 463	81951	16 schilling	1789	9.16	34	0.75
KM# 460	81969	32 schilling	1788-1789	18.32	35	0.75
KM# 509	81970	32 schilling	1794-1797	18.32	35	0.75
KM# 530	81971	32 schilling	1808	18.32	37	0.75
KM# 536	81972	32 schilling	1809	14.17	33	0.968
KM# 537	81973	32 schilling	1809	14.17	33	0.958
KM# 447	81998	1 ducat	1773-1790	3.49	22	0.979
KM# 469	82004	1 ducat	1791-1792	3.49	22	0.979
KM# 504	82008	1 ducat	1793-1806	3.49	22	0.979
KM# 528	82011	1 ducat	1807	3.49	22	0.979
KM# 532	82013	1 ducat	1808-1810	3.49	22	0.979
KM# 540	82014	1 ducat	1811-1834	3.49	22	0.979
KM# 552	82016	1 ducat	1835-1842	3.49	22	0.979
KM# 560	82026	1 ducat	1843-1850	3.49	22	0.979
KM# 576	82027	1 ducat	1851-1853	3.49	22	0.979
KM# 579	82028	1 ducat	1854-1867	3.49	22	0.979
KM# 589	82030	1 ducat	1868-1872	3.49	22	0.979
KM# 450	95661	2 ducat	1773-1788	7	28	0.986
KM# 466	95682	2 ducat	1789-1790	7	28	0.986
KM# 502	95683	2 ducat	1791-1792	7	28	0.986
KM# 506	95684	2 ducat	1793-1806	7	24	0.986
KM# 534	95623	2 ducat	1808-1810	7	28	0.986
KM# 361	81900	1 dreiling	1726-1763	0.51	13	0.187
KM# 438	81901	1 dreiling	1765-1766	0.51	13	0.187
# --- page 2 (32, last) ---
KM# 363	81910	1 sechsling	1726-1764	0.76	15	0.25
KM# 354	81934	1 schilling	1725-1768	1.08	17	0.375
KM# 357	81935	2 schilling	1725-1727	1.5	21	0.375
KM# 419	81936	2 schilling	1762-1763	1.96	21	0.438
KM# 359	81938	4 schilling	1725-1738	3.05	24	0.563
KM# 408	81939	4 schilling	1749-1765	3.05	24	0.563
KM# 367	81941	8 schilling	1726-1728	5.6	30	0.625
KM# 392	81943	8 schilling	1738	5.6	30	0.625
KM# 415	81945	8 schilling	1761	5.6	30	0.625
KM# 425	81946	8 schilling	1762-1764	5.6	30	0.625
KM# 428	81978	12 schilling	1762		0.888
KM# 369	81949	16 schilling	1726-1728	9.16	34	0.75
KM# 382	81950	16 schilling	1731	9.16	34	0.75
KM# 430	81953	16 schilling	1762-1764	9.16	34	0.75
KM# 372	81958	32 schilling	1726-1728	18.32	39	0.75
KM# 384	81960	32 schilling	1731-1737	18.32	39	0.75
KM# 402	81961	32 schilling	1748-1761	18.32	39	0.75
KM# 435	81962	32 schilling	1762-1764	18.32	39	0.75
KM# 440	81964	32 schilling	1766-1767	18.32	39	0.75
KM# 417	81974	48 schilling	1761-1763	29.2	42.5	0.888
KM# 386	81975	1 thaler	1735	29.25	43	0.5
KM# 342	81992	1 ducat	1713-1740	3.5	23	0.986
KM# 394	81993	1 ducat	1742-1745	3.5	23	0.986
KM# 397	81994	1 ducat	1746-1753	3.5	23	0.986
KM# 411	81995	1 ducat	1754-1765	3.5	23	0.986
KM# 442	81996	1 ducat	1766-1772	3.5	23	0.986
KM# 345	95523	2 ducat	1713-1740	7	28	0.986
KM# 396	95645	2 ducat	1742-1745	7	28	0.986
KM# 399	95646	2 ducat	1746-1753	7	28	0.986
KM# 413	95654	2 ducat	1754-1765	7	29	0.986
KM# 444	95655	2 ducat	1766-1771	7	28	0.986
KM# 445	95656	2 ducat	1772	7	28	0.986
