# Rigsdaler 1699-1749 (Denmark, period_id=1115) — Frederik IV / Christian VI
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
# --- page 1 (48) ---
KM# 512	94058	½ skilling	1719	3.654	21
KM# 545	94070	½ skilling	1745	3.654	21
KM# 501	94097	1 skilling	1711-1719	0.921	16.7
KM# 520	94098	1 skilling	1720-1723	0.921	15.8
KM# 541	94099	1 skilling	1735-1746	0.921	16
KM# 502	94100	2 skilling	1711-1726	1.299	18	0.281
KM# 526	94101	4 skilling	1727-1730	2.751	21.2	0.312
KM# 470	94103	8 skilling	1700-1705	3.057	21.4	0.562
KM# 527	94110	8 skilling	1728	3.06	22	0.562
KM# 528	94111	8 skilling	1729-1730	3.06	22	0.562
KM# 495	94112	12 skilling	1710-1711	3.9	24.3	0.562
KM# 504	94113	12 skilling	1712-1719	3.9	24.3	0.562
KM# 513	94114	12 skilling	1719	3.9	24	0.562
KM# 521	94117	12 skilling	1720-1722	3.89	24	0.562
KM# 505	94118	16 skilling	1713-1716	5.2	27	0.625
KM# 536	94119	24 skilling	1731-1732	9.171	29	0.562
KM# 538	94120	24 skilling	1732-1743	9.171	30	0.562
KM# 448	94124	1 krone	1699-1702	17.998	36.5	0.833
KM# 503	94133	1 krone	1711	22.27	39.9	0.671
KM# 523	94134	1 krone	1723	22.27	39.9	0.671
KM# 524	94156	1 krone	1724-1726	22.27	39.2	0.671
KM# 537	94157	1 krone	1731-1732	22.27	39	0.671
KM# 559	94158	1 krone	1747	18	35.6	0.833
KM# 560	94159	1 krone	1747	18	35.6	0.833
KM# 571	94160	1 krone	1748	18	35.6	0.833
KM# 572	94161	1 krone	1748	18	35.6	0.833
KM# 480	94244	1 speciedaler	1704	28.983	42	0.875
KM# 471	94307	1 dukat	1700	3.49	20	0.98
KM# 474	94308	1 dukat	1701	3.49	20	0.98
KM# 478	94309	1 dukat	1702	3.49	20	0.98
KM# 481	94310	1 dukat	1704	3.49	21.6	0.98
KM# 484	94312	1 dukat	1708-1725	3.49	21	0.98
KM# 485	94316	1 dukat	1708-1709	3.49	21	0.98
KM# 487	94320	1 dukat	1709-1726	3.49	21.5	0.98
KM# 496	94321	1 dukat	1710-1711	3.49	21.5	0.98
KM# 535	94326	1 dukat	1730	3.49	21	0.98
KM# 540	94327	1 dukat	1732	3.49	21	0.98
KM# 542	94329	1 dukat	1738-1740	3.49	21	0.98
KM# 548	94334	1 dukat	1746	3.49	21	0.98
KM# 549	94335	1 dukat	1746	3.49	22	0.98
KM# 550	94336	1 dukat	1746	3.49	21.3	0.98
KM# 552	94337	1 dukat	1746	3.49	21	0.98
KM# 564	94338	1 dukat	1747	3.49	21	0.98
KM# 565	94339	1 dukat	1747	3.49	21	0.98
KM# 566	94340	1 dukat	1747	3.49	21	0.98
KM# 573	94341	1 dukat	1748	3.49	16.8	0.98
KM# 577	94342	1 dukat	1749	3.49	21	0.98
KM# 510	94408	1 rixdaler	1715	1.435	15.2	0.875
# --- page 2 (11, last) ---
KM# 561	94162	2 kroner	1747	36.12	36.6	0.833
KM# 508	94305	2 rixdaler	1714-1716	2.82	20	0.875
KM# 525	173635	3 kroner	1726	45.29		0.993
KM# 476	94343	2 dukat	1701-1704	6.98	25.7	0.98
KM# 555	94364	2 dukat	1746	6.98	25.7	0.98
KM# 556	94365	2 dukat	1746	6.98	25.7	0.98
KM# 568	94404	2 dukat	1747	6.98	25.7	0.98
KM# 569	94405	2 dukat	1747	6.98	25.7	0.98
KM# 570	94406	2 dukat	1747	6.98	25.7	0.98
KM# 576	94407	2 dukat	1749	6.98	25.7	0.98
KM# 482	101245	5 dukat	1704	17.45		0.98
