# Rigsdaler 1625-1699 (Denmark, period_id=1147) — Frederik III + Christian V Copenhagen
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
# --- page 1 (48) ---
KM# 175	96987	1 hvid	1651	0.62	15
KM# 380.1	96988	1 hvid	1686	0.557		0.125
KM# 380.2	96989	1 hvid	1686	0.557		0.125
KM# 123	96429	1 søsling	1631
KM# 176	96430	1 søsling	1651	1.46	19.8
KM# 177	96431	1 søsling	1651
KM# 381	96435	½ skilling	1686	0.668		0.158
KM# 421.1	96438	½ skilling	1693-1696	3.654	20
KM# 113.1	96444	1 skilling	1629	0.292		0.875
KM# 113.2	96445	1 skilling	1629	0.292		0.875
KM# 131	96446	1 skilling	1644-1648	0.292		0.875
KM# 156	96448	1 skilling	1648-1653	0.292		0.875
KM# 184.1	96449	1 skilling	1652-1655	0.292	16.5	0.875
KM# 184.2	96450	1 skilling	1655	0.292	16.5	0.875
KM# A185	96452	1 skilling	1661	0.29		0.875
KM# 184.3	96451	1 skilling	1665	0.29		0.875
KM# 254	96453	1 skilling	1665-1668	0.292		0.875
KM# 357	96454	1 skilling	1676-1681	0.292	15.6	0.875
KM# 382	96455	1 skilling	1686	1.11		0.187
KM# 89	96456	2 skilling	1624-1629	1.299	18	0.281
KM# 120	96458	2 skilling	1630-1632	0.525		0.86
KM# 132	96459	2 skilling	1644-1648	1.3	19.7	0.86
KM# 157	96460	2 skilling	1648-1649	0.53	17.62	0.857
KM# 158	96461	2 skilling	1648-1651	1.03	18.85	0.86
KM# 178	96463	2 skilling	1651	1.3	19.15	0.281
KM# 189.1	96464	2 skilling	1653	1.3	19	0.281
KM# 189.2	96465	2 skilling	1653-1655	1.3	19	0.281
KM# A190	96466	2 skilling	1654-1655	1.3	19	0.281
KM# 209	96467	2 skilling	1657-1664	1.3	19.5	0.281
KM# 249	96470	2 skilling	1664-1667	1.3		0.281
KM# A210	96468	2 skilling	1664-1665	1.3		0.281
KM# 256	96472	2 skilling	1665-1666	1.3		0.281
KM# 281	99064	2 skilling	1667	1.3	18.25	0.281
KM# 282.1	99065	2 skilling	1667-1669	1.28	18.25	0.281
KM# 282.2	96469	2 skilling	1667-1670	1.3	18	0.281
KM# 358	96983	2 skilling	1676-1681	1.32	19	0.281
KM# 383.1	96984	2 skilling	1686	1.3		0.281
KM# 422	96986	2 skilling	1693	0.915	18	0.5
KM# 121	96990	4 skilling	1630-1632	1.18	17	0.875
KM# 133	96991	4 skilling	1644-1645	1.95	21.7	0.25
KM# 257	96994	4 skilling	1665	1.95		0.25
KM# 283	96996	4 skilling	1667-1669	1.95	22.5	0.437
KM# 440	96999	4 skilling	1696	1.95		0.25
KM# 174	97384	1/16 dukat	1648
KM# 109	97085	6 skilling	1627-1629	1.77	19	0.781
KM# 110	97086	6 skilling	1628-1629	1.77	19	0.781
KM# 122	97087	8 skilling	1630	2.39	20	0.875
KM# 305	97088	8 skilling	1669	2.78	21	0.671
# --- page 2 (48) ---
KM# 341	97089	8 skilling	1672	2.78	22.3	0.671
KM# 423	97090	8 skilling	1693	2.24		0.671
KM# 465	97091	8 skilling	1695	3.05	21.1	0.833
KM# 286	97345	⅛ speciedaler	1667	3.6		0.875
KM# 136	97094	16 skilling	1644-1646	5.57	28	0.593
KM# 266	97120	1 mark	1666	5.57	26.3	0.593
KM# 297	97121	1 mark	1668	5.57	28	0.593
KM# 342	97122	1 mark	1672-1676	5.57	26.2	0.671
KM# 350	97123	1 mark	1675	5.57	16.8	0.671
KM# 379	97124	1 mark	1685	5.57	26.3	0.671
KM# 404	97125	1 mark	1691-1692	5.57	25.7	0.671
KM# 424	97126	1 mark	1693-1696	5.57	24.5	0.671
KM# A143	97385	¼ dukat	1646-1648	0.87	15	0.98
KM# 235	97387	¼ dukat	1660-1664	0.87	14.5	0.98
KM# 264	97388	¼ dukat	1665-1668	0.87	15	0.98
KM# 325	97389	¼ dukat	1670	0.87	15	0.98
KM# 353	97390	¼ dukat	1675	0.87	15	0.98
KM# 360	97391	¼ dukat	1676	0.87	15	0.98
KM# 436	97392	¼ dukat	1694	0.87	15	0.98
KM# 137	99089	2 mark	1644-1646	11.14	32	0.593
KM# 185	99090	2 mark	1652	11.14	32	0.671
KM# 190	99091	2 mark	1653	11.14	34	0.671
KM# 191	99092	2 mark	1653-1657	11.14	34	0.671
KM# 218	99093	2 mark	1658-1661	11.14	33.2	0.671
KM# 259	99094	2 mark	1665-1667	11.14	32	0.671
KM# 267	99095	2 mark	1666	11.14	32	0.671
KM# 268	99096	2 mark	1666	11.14	32	0.671
KM# 269	99097	2 mark	1666	11.14	35	0.671
KM# 284	99098	2 mark	1667-1668	11.14	31.2	0.671
KM# 298	99099	2 mark	1668-1669	11.14	32	0.671
KM# 329.1	99100	2 mark	1671	11.14	32.3	0.671
KM# 329.2	170107	2 mark	1671	11.14	32.3	0.671
KM# 369	99101	2 mark	1681-1682	11.14	32	0.671
KM# 377	99102	2 mark	1684-1685	11.14	31.2	0.671
KM# 385	99103	2 mark	1686	11.14	32	0.671
KM# 403	99104	2 mark	1690	11.14	32	0.593
KM# 406	99105	2 mark	1691-1692	11.14	32	0.593
KM# 179	97147	½ krone	1651	9.46	33.15	0.845
KM# 258	97148	½ krone	1665	9.93	31.2	0.792
KM# 100	97347	½ speciedaler	1624-1634	14.62	35.37	0.88
KM# 135	170135	½ speciedaler	1646	14.62	35.37	0.88
KM# 260	97356	½ speciedaler	1665	14.39		0.875
KM# 138	97393	½ dukat	1644-1646	1.75	18	0.98
KM# 151	97394	½ dukat	1647	1.75	18	0.98
KM# 152	97395	½ dukat	1647	1.75	18	0.98
KM# 188	97396	½ dukat	1652	1.75		0.98
KM# 229	97397	½ dukat	1659-1664	1.75	18.6	0.98
KM# 312	97398	½ dukat	1669	1.75	18	0.98
# --- page 3 (48) ---
KM# 354	97399	½ dukat	1675	1.75		0.98
KM# 355	97400	½ dukat	1685	1.75	18	0.98
KM# 437	97401	½ dukat	1694-1696	1.75	15.6	0.98
KM# 441	97402	½ dukat	1696	1.75		0.98
KM# 442	97403	½ dukat	1696	1.75	17.5	0.98
KM# 180	97150	1 krone	1651	19.91	40	0.86
KM# 181	99129	1 krone	1651	19.91	40	0.86
KM# 182	97151	1 krone	1651-1652	18.91	39.8	0.86
KM# 186	97152	1 krone	1652-1653	22.27	40	0.671
