# Free Hanseatic City of Lübeck 1717-1797 (period_id=1204) — Hanseatic later
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
KM# 140	102435	1 dreiling	1727-1747	0.51	13	0.187
KM# 166	102436	1 dreiling	1752-1762	0.51	13	0.187
KM# 165	102437	1 sechsling	1750	0.52	17	0.187
KM# 141	102424	1 schilling	1727-1758	1.08	17	0.375
KM# 190	102425	1 schilling	1789	1.08	17.25	0.375
KM# 142	102426	2 schilling	1727	1.96		0.437
KM# 175	102427	2 schilling	1758	1.96		0.437
KM# 143	102431	4 schilling	1727-1729	3.05	23	0.562
KM# 156	102432	4 schilling	1732-1752	3.05	23	0.562
KM# 174	102433	4 schilling	1758	3.05	23	0.562
KM# 144	102640	8 schilling	1727-1758	5.5	28	0.625
KM# 152	102641	8 schilling	1731-1758	5.5	28	0.625
KM# 146	102683	16 schilling	1728	9.16	32	0.75
KM# 153	102684	16 schilling	1731-1758	9.16	32	0.75
KM# 147	102687	32 schilling	1728	18.2	38	0.9
KM# 154	102691	32 schilling	1731-1738	18.2	38	0.9
KM# 162	102692	32 schilling	1747-1748	18.2	38	0.9
KM# 163	102693	32 schilling	1749-1750	18.2	38	0.9
KM# 167	102694	32 schilling	1752	18.2	38	0.9
KM# 176	102695	32 schilling	1758	18.2	38	0.9
KM# 199	102696	32 schilling	1796-1797	18.2	38	0.9
KM# 110	102728	¼ ducat	1679-1728	0.875		0.986
KM# 168	102697	48 schilling	1752	27.51	41	0.9
KM# 145	102719	1 thaler	1727	29.2	41	0.888
KM# 155	102721	1 thaler	1731	29.2	41	0.888
KM# 160	102722	1 thaler	1742	29.2	41	0.888
KM# 161	102723	1 thaler	1745	29.2	41	0.888
KM# 185	102724	1 thaler	1776	29.2	41	0.888
KM# A36	102730	1 ducat	1627-1737	3.5		0.986
KM# 148	102735	1 ducat	1729-1730	3.5		0.986
KM# 179	102737	1 ducat	1749-1759	3.5		0.986
KM# 191	102738	1 ducat	1789-1790	3.5		0.986
KM# 195	102739	1 ducat	1791-1792	3.5		0.986
KM# 196	102740	1 ducat	1792	3.5		0.986
KM# 198	102741	1 ducat	1793-1797	3.5		0.986
KM# 205	102742	1 ducat	1801	3.5		0.986
