# Glückstadt 1617-1773 (Denmark, period_id=2939) — full harvest 50/50
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
KM# 10	163579	1 søsling	1623-1626	0.63	15	0.312
KM# 25	163580	1 søsling	1640-1648	0.7	17	0.312
KM# 41	163581	1 søsling	1658-1660	0.7	17	0.305
KM# 81	163582	1 skilling dansk	1694	0.68	17	0.305
KM# 19	163584	2 skilling dansk	1627	1.3	17	0.281
KM# 71	163585	2 skilling dansk	1681	1.3	17	0.281
KM# 78	163586	2 skilling dansk	1693-1694	1.22	19	0.343
KM# 8	163588	2 skilling lybsk	1620	1.01		0.888
KM# 79	163587	4 skilling dansk	1693-1694	1.95	21	0.437
KM# 4	162953	2 skilling	1714-1716	1.1	16
KM# 31	163672	3 skilling lybsk	1644	1.79	20	0.812
KM# 9	163638	4 skilling lybsk	1620	1.93	18	0.888
KM# 82	163635	8 skilling dansk	1694-1697	3.06	22	0.562
KM# 18	163673	6 skilling lybsk	1625	2.92	20	0.888
KM# 11	163589	1/16 speciedaler	1623-1625	1.79	19	0.812
KM# 26.1	163618	1/16 speciedaler	1640-1641	1.79	21	0.812
KM# 26.2	163623	1/16 speciedaler	1641-1646	1.79	21	0.812
KM# 42	163626	1/16 speciedaler	1658-1659	1.79	21	0.812
KM# 54	163628	1/16 speciedaler	1665-1667	1.79	21	0.812
KM# 57	163631	1/16 speciedaler	1667-1670	1.79	21	0.812
KM# 69	163636	1/16 speciedaler	1680	1.79	21	0.812
KM# 30	163647	8 skilling lybsk	1641-1645	4.87	29	0.812
KM# 1	162954	8 skilling	1702-1705	3.057	20.82	0.562
KM# 3	162960	8 skilling	1711-1713	3.057	20.82	0.562
KM# 55	163641	⅛ speciedaler	1665	3.57	25	0.812
KM# A4	163649	1 mark	1617-1629	8.35		0.589
KM# 65	163651	2 mark dansk	1679-1682	11.14	32	0.671
KM# 80	163646	2 mark dansk	1693-1696	11.14	33	0.671
KM# 14	163652	½ speciedaler	1623-1625	14.25	39	0.888
KM# 32	163650	2 mark	1645	11.14	32	0.593
KM# A43	163653	4 mark dansk	1659-1660	22.27	42	0.671
KM# B43	163654	4 mark dansk	1659-1660	22.27	42	0.671
KM# 63	163655	4 mark dansk	1671-1682	22.27	41	0.671
KM# 77	163656	4 mark dansk	1692-1694	22.27	41	0.671
KM# 83	163657	4 mark dansk	1694-1696	22.27	41	0.671
KM# 40	163671	1 krone	1657-1660	3	30	0.917
KM# 15	163658	1 speciedaler	1623-1625	28.75	44	0.888
KM# 20	163659	1 speciedaler	1629-1630	28.75	44	0.888
KM# 27	163660	1 speciedaler	1640-1648	28.75	43	0.888
KM# 51	163661	1 speciedaler	1664-1666	28.7	44	0.888
KM# 74	163662	1 speciedaler	1682	28.7	44	0.888
KM# 73	163663	1 speciedaler	1683	29	43	0.888
KM# 28	163664	2 speciedaler	1641	57.8	43	0.888
KM# 29	163665	1 ducat	1640-1646	3.5	24	0.986
KM# 36	163666	1 ducat	1645	3.5	24	0.986
KM# 56	163667	1 ducat	1666-1669	3.5	24	0.986
KM# 64	163668	1 ducat	1672-1676	3.5	24	0.986
KM# 70	163669	1 ducat	1680-1685	3.5	24	0.986
KM# 72	163670	1 ducat	1682	3.5	24	0.986
KM# 2	162962	1 ducat	1705-1706	3.49	21	0.979
