# Speciedaler 1582-1624 (Denmark, period_id=2940) — page 1 (48 records)
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
KM# 5	162972	1 penning	1602	0.585	14.6
KM# 6	162975	1 penning	1602	0.585	14.6
KM# 7	162976	2 penning	1602	0.585	15
UC# 1	162984	1 hvid	1582-1583	0.63	15.6	0.166
KM# 8	162977	1 hvid	1602	0.71	15	0.1
KM# 9	162978	1 hvid	1602	0.71	15	0.1
KM# 54	162986	1 hvid	1613-1614	0.71	15	0.1
KM# 63	162985	1 hvid	1618	0.565	14.35	0.1
KM# 86	162980	1 hvid	1624-1625	1.03	15.6
KM# 10	162989	1 søsling	1602	1.063	19	0.125
KM# 22	162990	1 søsling	1604	1.02	17	0.125
KM# 40	162991	1 søsling	1607	1.02	17	0.125
KM# 47	162992	1 søsling	1611	1.02	16	0.125
KM# 48	162993	1 søsling	1614	1.02	16	0.125
KM# 45	162994	1 søsling	1622	0.53
UC# 2	163001	1 skilling	1582-1583	1.8	21	0.187
KM# 29.1	162995	1 skilling	1605-1616	1.6	20	0.17
KM# 29.2	162996	1 skilling	1615-1619	1.6	20	0.17
KM# 65	162999	1 skilling	1619	0.53	20	0.312
KM# 66	163000	1 skilling	1619	0.53	13.5	0.312
KM# 67	162997	1 skilling	1619-1623	0.53	13.5	0.312
KM# 88	162998	1 skilling	1624	0.92	15	0.156
UC# 3	163011	2 skilling	1582-1585	2.4	26	0.312
UC# 4	163012	2 skilling	1594-1596	2.4	24	0.312
KM# 16.1	163008	2 skilling	1603-1613	1.78	22.3	0.298
KM# 16.2	163009	2 skilling	1618	1.78	22.3	0.298
KM# 68	163014	2 skilling	1619	0.787	19.23	0.86
KM# 69	163005	2 skilling	1619-1621	0.53	13.5	0.86
KM# 11	163020	4 skilling	1602-1609	1.462	26	0.45
KM# 30	163021	4 skilling	1606-1608	1.462	20	0.888
KM# 41	163022	4 skilling	1608-1609	1.46	21	0.888
KM# 55.1	163017	4 skilling	1616-1619	2.3	24	0.437
KM# 55.2	163019	4 skilling	1616-1619	2.3	24	0.437
KM# 70	163023	4 skilling	1619	1.46	20	0.437
KM# 81	163016	4 skilling	1620-1621	1.051	18	0.86
KM# 83	163036	6 skilling	1622	1.64
UC# 5	163030	8 skilling	1582-1585	4.45	25	0.61
KM# 31	163033	8 skilling	1606	2.92	23	0.888
KM# 32	163031	8 skilling	1606-1609	2.92	25	0.888
KM# 42	163034	8 skilling	1608	2.92	25	0.888
KM# 71	163035	8 skilling	1619	3.1	25	0.86
KM# 82	163026	8 skilling	1620-1621	1.85	22	0.86
KM# 84	163027	8 skilling	1622-1623	2	15	0.888
KM# 90	163029	8 skilling	1624-1625	2.05	15	0.86
KM# 56	163040	⅛ krone	1618	2.24		0.86
KM# 85	163037	12 skilling	1622-1623	3.02	20	0.888
KM# 91	163038	12 skilling	1624-1625	3.08	20	0.86
KM# 92	163039	16 skilling	1624-1625	3.93	22	0.86
# --- page 2 (35 more records) ---
KM# 57	163041	¼ krone	1618	4.5	26	0.86
KM# 93	163042	24 skilling	1624	6.05	26
KM# 12	163043	1 mark	1602-1604	9.41	30	0.593
KM# 12a	163044	1 mark	1606	6.15	29	0.888
KM# 33	163045	1 mark	1606-1607	6.15	29	0.888
KM# 36	163046	1 mark	1607-1609	6.15	29	0.888
KM# 52	163047	1 mark	1612-1618	8.66	31	0.593
KM# 58	163048	½ krone	1618	9.3	32	0.86
KM# 58a	163056	½ krone	1619-1621	9.46	33	0.86
KM# 72	163055	½ krone	1619	1.46		0.917
KM# 94	163057	½ krone	1624	9.46	31	0.86
KM# 95	163058	½ krone	1624-1625	9.46	25	0.86
KM# 23	163059	2 mark	1604	16.58	36	0.65
KM# 59	163060	1 krone	1618	18.77	40	0.86
KM# 59a	163061	1 krone	1619-1622	18.91	40	0.86
KM# 97	163062	1 krone	1624-1625	18.9	39	0.86
UC# 7	163067	4 mark	1596	29.5	41	0.937
UC# 6	163065	1 speciedaler	1590	29.23	41.5	0.937
UC# 13	173642	1 speciedaler	1596	29.23	41	0.937
UC# 8	163068	1 speciedaler	1597	29.23	41	0.937
KM# 43	163069	1 speciedaler	1608-1609	29.23	40	0.875
KM# 44	163070	1 speciedaler	1608-1621	29.23	40	0.875
UC# 12	163398	1 gulden	1591-1593	3.42		0.972
KM# A45	163405	1 gulden	1608-1611	3.42		0.972
KM# 60	163406	2 kroner	1618-1619	37.36	46	0.86
KM# 61	163407	2 kroner	1618-1619	37.36	46	0.86
KM# 99	163408	2 kroner	1624	37.36	40	0.86
UC# 9	163071	2 speciedaler	1597-1600	58.56	41	0.888
KM# 147	163074	2 speciedaler	1607	58.56	51	0.888
KM# 148	163073	2 speciedaler	1611	58.56	51	0.888
KM# 25	163409	4 daler	1604	9.744	21	0.833
KM# 51	163411	1 rosenoble	1611-1629	8.99	29	0.833
KM# 26	163410	6 daler	1604	13.18		0.925
UC# 10	163075	10 ducat	1588	39.45	51
UC# 11	163077	10 ducat	1604	34.94	40	0.979
