# Rigsbankdaler 1813-1854 (Denmark, period_id=647) — 18½-Th-Fuß era; Frederik VI, Christian VIII, Frederik VII
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
# --- page 1 (48) ---
KM# 750	130482	2 d'Or	1850-1863	13.28	27.1	0.896
KM# 723	70716	⅕ rigsbankskilling	1842	1.46	16
KM# 724	70717	⅕ rigsbankskilling	1842	1.46	15
KM# 715	70718	½ rigsbankskilling	1838	3.65	17.2
KM# 725	70719	½ rigsbankskilling	1842	3.65	18
KM# 753	70720	½ rigsbankskilling	1852	3.65	18
KM# 680	70721	1 rigsbankskilling	1813	4.87	21.5
KM# 688	70722	1 rigsbankskilling	1818	7.31	23
KM# 726	70723	1 rigsbankskilling	1842	7.31	23
KM# 754	70724	1 rigsbankskilling	1852	7.3	23
KM# 756	70725	1 rigsbankskilling	1853	7.18	23
KM# Tn4	81019	2 skilling	1815	2.5	17
KM# 689	70745	2 rigsbankskilling	1818	14.62	31
KM# 710	70747	2 rigsbankskilling	1836	1.11	14	0.2
KM# 728	70748	2 rigsbankskilling	1842	14.62	29
KM# Tn5	81020	3 skilling	1815	3.75	20
KM# 711	70749	3 rigsbankskilling	1836	1.52	15	0.229
KM# 729	70750	3 rigsbankskilling	1842	1.52	15	0.229
KM# A730	70751	3 rigsbankskilling	1842	1.52	15.5	0.229
KM# Tn6	81021	4 skilling	1815	4.8	21.7
KM# 712	70752	4 rigsbankskilling	1836	1.85	17	0.25
KM# 721	70753	4 rigsbankskilling	1841-1842	1.7	17	0.25
KM# Tn1	81022	6 skilling	1813	7.31	24.54
KM# 737	70754	8 rigsbankskilling	1843	2.81		0.375
KM# Tn2	81023	12 skilling	1813	10	27
KM# Tn3	81024	16 skilling	1814	14.12	30
KM# 733	70755	16 rigsbankskilling	1842-1844	4.21	21.5	0.5
KM# 690	70756	32 rigsbankskilling	1820	6.13	25.5	0.68
KM# 734	70757	32 rigsbankskilling	1842-1843	6.13	24	0.68
KM# 683	70758	1 rigsbankdaler	1813-1819	14.45	30	0.875
KM# 696	70759	1 rigsbankdaler	1826-1828	14.45	31	0.875
KM# 706	70760	1 rigsbankdaler	1833-1839	14.5	32	0.875
KM# 735	70764	1 rigsbankdaler	1842-1848	14.45	30	0.875
KM# 743	70765	1 rigsbankdaler	1849-1851	14.45	30	0.875
KM# 693	70766	1 speciedaler	1819	28.89	37	0.875
KM# 695	70767	1 speciedaler	1820-1839	28.89	37	0.875
KM# 720	70768	1 speciedaler	1840-1847	28.89	37	0.875
KM# 741	110651	1 speciedaler	1846-1848	28.89	37	0.875
KM# 744	70770	1 speciedaler	1849-1854	28.89	37	0.875
KM# 698	133224	1 d'Or	1827	6.64	24	0.896
KM# 699	132803	1 d'Or	1828	6.64	24	0.896
KM# 701	132804	1 d'Or	1829-1838	6.64	23	0.896
KM# 730	130239	1 d'Or	1843-1847	6.64		0.896
KM# 757	130481	1 d'Or	1853	6.64		0.896
KM# 697	132805	2 d'Or	1826-1827	13.29	28.5	0.896
KM# 700	132806	2 d'Or	1828-1836	13.29	28.5	0.896
KM# 713	132807	2 d'Or	1836-1839	13.29	28.5	0.896
KM# 722	130240	2 d'Or	1841-1847	13.28	27.1	0.896
