# Rigsdaler 1750-1812 (Denmark, period_id=846) — Frederik V/Christian VII/Frederik VI; Altona-mint era from 1771
# Format: km_ref	tid	denomination	year	weight_g	diameter_mm	fineness
# --- page 1 (48) ---
KM# 615	78766	½ skilling	1771	5.846	24.5
KM# 577	78763	½ skilling	1751-1762	3.654	20.5
KM# 578	78770	1 skilling	1751-1764	0.768	15	0.187
KM# 616	78775	1 skilling	1771	11.7	29
KM# 636	78906	1 skilling	1779-1782	0.768	15	0.187
KM# 662	79526	1 skilling	1808-1809	0.923	15	0.187
KM# 671	79552	1 skilling	1812	0.78	15
KM# 579	78929	2 skilling	1750-1761	1.218		0.343
KM# 631	78930	2 skilling	1778-1785	1.181	17.3	0.343
KM# 660	79553	2 skilling	1801-1805	1.5	19.5	0.25
KM# 663	79554	2 skilling	1809-1810	5.5	21.69
KM# 670	79555	2 skilling	1810-1811	4.9	21
KM# 672	79556	3 skilling	1812	2.44	17
KM# 598	78931	4 skilling	1764	2.75	21	0.312
KM# 644	78932	4 skilling	1783	2.751	21.2	0.312
KM# 661	79557	4 skilling	1807	2.598	21	0.25
KM# 652	79093	1/15 speciedaler	1796-1799	3.37	24	0.5
KM# 595	79082	8 skilling	1763	3.057	21	0.563
KM# 597	79083	8 skilling	1763	3.057	21	0.563
KM# 626	79084	8 skilling	1773-1783	3.057	21	0.563
KM# 642	173579	8 skilling	1782	3.057	22.78	0.563
KM# 673	79558	12 skilling	1812	11.5	29
KM# 664	126062	⅙ rigsdaler	1808	5.049	26	0.4
KM# 580	90640	24 skilling	1750	9.171	30.4	0.562
KM# 582	79086	24 skilling	1750-1764	9.171	30.4	0.563
KM# 581	79087	24 skilling	1751	9.171	30.6	0.563
KM# 602	79088	24 skilling	1767	9.171	30.4	0.563
KM# 635	79089	24 skilling	1778-1783	9.171	30.4	0.563
KM# 604	79157	¼ speciedaler	1769	7.224	23	0.875
KM# 627	79090	32 skilling	1775	12.228	32	0.563
KM# 628	79091	32 skilling	1775	12.228	32	0.563
KM# 621	79092	½ krone	1771	8.994		0.833
KM# 605	79159	½ speciedaler	1769	14.447	36	0.875
KM# 606	79158	½ speciedaler	1769	14.447	36	0.875
KM# 633	79160	½ speciedaler	1786	14.447	36.5	0.875
KM# 622	79156	1 krone	1771	17.998		0.833
KM# 599	79161	1 speciedaler	1764	28.893	41	0.875
KM# 600	79162	1 speciedaler	1764	28.893	41	0.875
KM# 601	79163	1 speciedaler	1764	28.893	41	0.875
KM# 603	79164	1 speciedaler	1768	28.893	41	0.875
KM# 607	173631	1 speciedaler	1769	28.893	40	0.875
KM# 608	79165	1 speciedaler	1769	28.893	40	0.875
KM# 623	79166	1 speciedaler	1771	28.893	40	0.875
KM# 632	79167	1 speciedaler	1776-1780	28.893	41.5	0.875
KM# 634	79168	1 speciedaler	1777	28.893	40.5	0.875
KM# 651	79169	1 speciedaler	1795-1801	28.893	40.05	0.875
KM# 583	101037	1 dukat	1753-1756	3.49	21	0.978
KM# 588	101038	1 dukat	1758	3.49	21	0.978
# --- page 2 (6, last) ---
KM# 650	101039	1 dukat	1791-1802	3.49	21	0.978
KM# 585	101043	12 mark	1757-1758	3.49	21	0.875
KM# 586	101044	12 mark	1757-1763	3.49	21	0.875
KM# 587	101040	12 mark	1757-1765	3.49	21	0.875
KM# 624	101041	12 mark	1771	3.49	21	0.875
KM# 641	101042	12 mark	1781-1785	3.49	21	0.875
